metric,k,topk_overlap
degree,6,1.0
degree,6,1.0
degree,6,1.0
strength,6,1.0
strength,6,1.0
strength,6,1.0
betweenness,6,1.0
betweenness,6,1.0
betweenness,6,1.0
eigenvector,6,1.0
eigenvector,6,1.0
eigenvector,6,1.0
cf_closeness,6,1.0
cf_closeness,6,1.0
cf_closeness,6,1.0
