id,name,iso3,geometry,lat,lon,export,import,trans,throughput
port1188,Shanghai_China,CHN,POINT (121.64419683599843 31.191795361150508),31.191795361150508,121.64419683599843,326674425936.3316,165316641856.7661,203801895574.61316,695792963367.7109
port1414,Yiantian_China,CHN,POINT (114.29351576122542 22.58487742159139),22.58487742159139,114.29351576122542,237302599099.68594,48627790094.00157,22008139341.403008,307938528535.0905
port1065,Pusan_South Korea,KOR,POINT (128.9385952279162 35.089550669656816),35.089550669656816,128.9385952279162,233627790973.79327,133290809766.4769,273439355150.20035,640357955890.4705
port57,Antwerp_Belgium,BEL,POINT (4.3178023106669565 51.27935494428036),51.27935494428036,4.3178023106669565,230883459331.64383,139623487863.31546,54949354163.12299,425456301358.0823
port541,Kao Hsiung_Taiwan,TWN,POINT (120.322684663521 22.561527802321525),22.561527802321525,120.322684663521,176489126839.84845,94310273734.42093,12238938276.478296,283038338850.7477
port1201,Singapore_Singapore,SGP,POINT (103.70748156486187 1.2719892565052655),1.2719892565052655,103.70748156486187,164484170790.9364,196410725127.5322,872434167485.0281,1233329063403.4966
port1114,Rotterdam_Netherlands,NLD,POINT (4.2151449665234955 51.922281208398175),51.922281208398175,4.2151449665234955,145184416053.96585,165394745570.20425,68362645936.97691,378941807561.14703
port526,Ju Aymah LPG Terminal_Saudi Arabia,SAU,POINT (49.97698013064791 26.803190513519926),26.803190513519926,49.97698013064791,143244174769.00934,580183475.6855623,1820508479.7447655,145644866724.43967
port824,Ningbo_China,CHN,POINT (121.88184079368102 29.92076897028836),29.92076897028836,121.88184079368102,128508259932.02705,90948367175.57037,23663216893.256596,243119844000.854
port168,Bremerhaven_Germany,DEU,POINT (8.555056667114231 53.54944124151818),53.54944124151818,8.555056667114231,105971834626.77643,54695781148.74307,38737169239.57102,199404785015.0905
port111,Bangkok_Thailand,THA,POINT (100.57258442370488 13.68350932327134),13.68350932327134,100.57258442370488,94645656089.23845,45719126356.097725,334996678.8119559,140699779124.14813
